,REGN_GKO,YYYYMMDD,Default
0,2856,20160101,1
1,3203,20160101,1
2,3261,20160101,1
3,2244,20160101,1
4,2493,20160101,1
5,1987,20160101,1
6,3373,20160101,1
7,3423,20160101,1
8,2269,20160101,1
9,1657,20160101,1
10,2547,20160101,1
11,2654,20160101,1
12,3350,20160101,1
13,3278,20160101,1
14,3256,20160101,1
15,2928,20160101,1
16,927,20160101,1
17,2767,20160101,1
18,2167,20160101,1
19,2896,20160101,1
20,3422,20160101,1
21,548,20160101,1
22,1277,20160101,1
23,3195,20160101,1
24,2863,20160101,1
25,3408,20160101,1
26,3206,20160401,1
27,1037,20160401,1
29,2542,20160401,1
30,2849,20160401,1
31,3002,20160401,1
32,1697,20160401,1
33,2948,20160401,1
34,2571,20160401,1
35,3378,20160401,1
36,2073,20160401,1
37,2258,20160401,1
38,1025,20160401,1
39,3439,20160401,1
40,2299,20160401,1
41,1084,20160401,1
42,3441,20160401,1
43,3273,20160401,1
44,2123,20160401,1
45,1053,20160401,1
47,1574,20160401,1
48,1701,20160401,1
49,1957,20160401,1
50,2620,20160401,1
51,138,20160401,1
52,3047,20160401,1
53,2537,20160401,1
54,3291,20160701,1
55,3461,20160701,1
56,1869,20160701,1
57,3262,20160701,1
58,1868,20160701,1
59,2937,20160701,1
60,2801,20160701,1
61,5,20160701,1
62,3068,20160701,1
63,3476,20160701,1
64,793,20160701,1
65,2594,20160701,1
66,2728,20160701,1
67,2228,20160701,1
69,2919,20160701,1
70,1139,20160701,1
71,1928,20160701,1
72,2632,20160701,1
73,2813,20160701,1
74,1971,20160701,1
75,1586,20160701,1
76,3183,20160701,1
78,720,20160701,1
79,3204,20160701,1
80,226,20160701,1
81,2157,20160701,1
82,836,20160701,1
83,3504,20160701,1
84,3065,20160701,1
85,2983,20160701,1
86,1975,20161001,1
87,2729,20161001,1
88,3288,20161001,1
89,3048,20161001,1
90,2898,20161001,1
91,3048,20161001,1
92,2554,20161001,1
93,777,20161001,1
94,210,20161001,1
95,2944,20161001,1
96,3250,20161001,1
97,2562,20161001,1
98,1639,20161001,1
99,1276,20161001,1
100,3270,20161001,1
101,1414,20161001,1
102,2704,20161001,1
103,2035,20161001,1
104,3089,20161001,1
105,3457,20161001,1
106,430,20161001,1
107,992,20161001,1
108,2543,20161001,1
110,2942,20161001,1
111,2472,20161001,1
112,1917,20170101,1
113,2771,20170101,1
114,3506,20170101,1
115,826,20170101,1
116,840,20170101,1
117,474,20170101,1
118,766,20170101,1
119,2403,20170101,1
120,3058,20170101,1
121,889,20170101,1
122,2705,20170101,1
123,3171,20170101,1
124,3180,20170101,1
125,2798,20170101,1
126,2859,20170101,1
127,3052,20170101,1
128,901,20170101,1
129,728,20170401,1
130,2211,20170401,1
131,2938,20170401,1
132,1521,20170401,1
134,3275,20170401,1
135,3484,20170401,1
136,208,20170401,1
137,870,20170401,1
138,1006,20170401,1
139,3038,20170401,1
140,2803,20170401,1
141,2166,20170401,1
142,2055,20170401,1
143,2677,20170401,1
147,3181,20170701,1
148,3117,20170701,1
149,1663,20170701,1
150,2248,20170701,1
151,2956,20170701,1
152,2207,20170701,1
153,880,20170701,1
154,456,20170701,1
155,2364,20170701,1
156,3443,20170701,1
158,3434,20170701,1
159,2768,20170701,1
160,3123,20170701,1
161,3000,20170701,1
162,55,20171001,1
163,3163,20171001,1
164,153,20171001,1
165,2873,20171001,1
167,3357,20171001,1
168,370,20171001,1
169,3200,20171001,1
170,467,20171001,1
171,860,20171001,1
172,1555,20171001,1
173,2649,20171001,1
174,2398,20171001,1
175,1623,20180101,1
176,2388,20180101,1
177,3433,20180101,1
178,3104,20180101,1
179,103,20180101,1
180,635,20180101,1
181,1284,20180101,1
182,3295,20180101,1
183,2519,20180101,1
184,3011,20180101,1
185,2145,20180101,1
186,2491,20180101,1
187,1105,20180101,1
188,3186,20180101,1
189,3380,20180101,1
190,2555,20180101,1
191,3177,20180101,1
192,3006,20180101,1
194,1093,20180401,1
195,970,20180401,1
197,2270,20180401,1
198,3233,20180401,1
199,2842,20180401,1
200,3139,20180401,1
201,2267,20180401,1
202,3283,20180401,1
203,696,20180401,1
204,1118,20180401,1
205,596,20180401,1
206,1137,20180401,1
207,469,20180401,1
208,2093,20180401,1
209,654,20180401,1
210,2468,20180401,1
211,3098,20180401,1
212,2888,20180701,1
213,558,20180701,1
214,1249,20180701,1
215,2316,20180701,1
216,3015,20180701,1
217,1635,20180701,1
218,930,20180701,1
219,3492,20180701,1
221,2697,20180701,1
222,2670,20180701,1
223,2851,20180701,1
224,680,20180701,1
225,2961,20180701,1
226,3053,20180701,1
227,1982,20180701,1
228,533,20181001,1
229,2148,20181001,1
230,2655,20181001,1
231,3393,20181001,1
232,2731,20181001,1
233,812,20181001,1
234,3236,20181001,1
235,2696,20181001,1
236,197,20181001,1
237,1459,20181001,1
238,2647,20181001,1
239,3137,20181001,1
240,3329,20181001,1
241,1661,20181001,1
242,1441,20181001,1
243,3537,20181001,1
244,1968,20181001,1
245,518,20181001,1
246,1942,20181001,1
247,3339,20181001,1
248,2136,20181001,1
249,568,20181001,1
250,2829,20181001,1
251,2313,20181001,1
252,2285,20181001,1
253,323,20190101,1
254,2827,20190101,1
255,2672,20190101,1
256,545,20190101,1
257,1166,20190101,1
259,2769,20190101,1
260,23,20190101,1
261,1398,20190101,1
262,3401,20190101,1
263,3028,20190101,1
264,1763,20190401,1
265,608,20190401,1
266,3431,20190401,1
267,2837,20190401,1
268,1132,20190401,1
269,128,20190401,1
270,96,20190401,1
271,3338,20190401,1
272,1704,20190401,1
273,2758,20190401,1
274,752,20190701,1
275,1717,20190701,1
276,3214,20190701,1
279,1736,20190701,1
280,3480,20190701,1
281,732,20190701,1
283,1184,20190701,1
284,2949,20191001,1
285,3307,20191001,1
286,1280,20191001,1
287,1197,20191001,1
288,1242,20191001,1
289,1972,20191001,1
292,1050,20191001,1
293,312,20191001,1
294,1068,20191001,1
295,2271,20191001,1
296,3360,20200101,1
297,704,20200101,1
298,1671,20200101,1
299,2410,20200101,1
300,931,20200101,1
301,2404,20200101,1
302,735,20200101,1
303,1411,20200101,1
305,1470,20200401,1
306,2646,20200401,1
307,232,20200401,1
308,2053,20200401,1
309,3456,20200401,1
310,3085,20200401,1
311,1309,20200701,1
312,2433,20200701,1
313,2254,20200701,1
314,1926,20200701,1
315,3037,20200701,1
316,2249,20200701,1
317,3122,20200701,1
318,3312,20200701,1
319,2960,20200701,1
320,3344,20200701,1
321,2764,20201001,1
322,874,20201001,1
323,1673,20201001,1
324,520,20201001,1
325,1405,20201001,1
326,1317,20201001,1
327,2524,20201001,1
328,3209,20201001,1
329,2897,20201001,1
330,2484,20201001,1
331,3499,20201001,1
333,1027,20201001,1
334,3481,20210101,1
335,1792,20210101,1
337,2593,20210101,1
338,3397,20210101,1
339,2063,20210101,1
340,3495,20210101,1
341,3265,20210101,1
343,2027,20210401,1
344,1136,20210401,1
345,2156,20210401,1
347,3266,20210401,1
348,3016,20210401,1
349,1293,20210401,1
350,784,20210401,1
351,2989,20210401,1
352,2756,20210401,1
355,1614,20210401,1
356,272,20210401,1
357,3351,20210401,1
358,52,20210401,1
359,1439,20210401,1
360,2529,20210401,1
361,969,20210401,1
362,3207,20210701,1
364,1752,20210701,1
365,2347,20210701,1
367,937,20211001,1
368,1071,20211001,1
369,3528,20211001,1
371,65,20220101,1
372,918,20220101,1
373,1087,20220101,1
375,1460,20220101,1
376,3437,20220101,1
378,3073,20220401,1
379,1189,20220401,1
381,2607,20220701,1
382,1016,20221001,1
383,3516,20230401,1
384,912,20230401,1
385,3519,20230701,1
386,3368,20240101,1
388,2241,20240101,1
389,1046,20240101,1
390,2152,20240101,1
