,REGN_GKO,STR,KORR_P_20190701,KORR_M_20190701,VSEGO20190701,REGN_GKO,STR,KORR_P_20180101,KORR_M_20180101,VSEGO20180101,REGN_GKO,STR,KORR_P_20190101,KORR_M_20190101,VSEGO20190101,REGN_GKO,STR,KORR_P_20180701,KORR_M_20180701,VSEGO20180701,REGN_GKO,STR,KORR_P_20190401,KORR_M_20190401,VSEGO20190401,REGN_GKO,STR,KORR_P_20201001,KORR_M_20201001,VSEGO20201001,REGN_GKO,STR,KORR_P_20171001,KORR_M_20171001,VSEGO20171001,REGN_GKO,STR,KORR_P_20180401,KORR_M_20180401,VSEGO20180401,REGN_GKO,STR,KORR_P_20211001,KORR_M_20211001,VSEGO20211001,REGN_GKO,STR,KORR_P_20200101,KORR_M_20200101,VSEGO20200101,REGN_GKO,STR,KORR_P_20210701,KORR_M_20210701,VSEGO20210701,REGN_GKO,STR,KORR_P_20200701,KORR_M_20200701,VSEGO20200701,REGN_GKO,STR,KORR_P_20210101,KORR_M_20210101,VSEGO20210101,REGN_GKO,STR,KORR_P_20181001,KORR_M_20181001,VSEGO20181001,REGN_GKO,STR,KORR_P_20210401,KORR_M_20210401,VSEGO20210401,REGN_GKO,STR,KORR_P_20191001,KORR_M_20191001,VSEGO20191001,REGN_GKO,STR,KORR_P_20200401,KORR_M_20200401,VSEGO20200401
0,1,1,0.0,,10851933.0,1.0,1,0.0,,11771672.0,1.0,1,0.0,,12091355.0,1.0,1,0.0,,10036567.0,1.0,1,0.0,,10358528.0,1.0,1,0.0,,16142639.0,1.0,1,0.0,,10635086.0,1.0,1,0.0,,9896604.0,1.0,1,0.0,,10708255.0,1.0,1,0.0,,10973213.0,1.0,1,0.0,,12620484.0,1.0,1,0.0,,17295651.0,1.0,1,0.0,,14704211.0,1.0,1,0.0,,9089270.0,1.0,1,0.0,,13068725.0,1.0,1,0.0,,9404977.0,1.0,1,0.0,,19294002.0
1,1,10,0.0,,7404857.0,1.0,10,,-175532.0,26010212.0,1.0,10,,-216011.0,25511387.0,1.0,10,,-246364.0,24095925.0,1.0,10,0.0,,7378077.0,1.0,10,0.0,,7826953.0,1.0,10,0.0,,23171855.0,1.0,10,,-195481.0,23841457.0,1.0,10,0.0,,7082979.0,1.0,10,0.0,,8502550.0,1.0,10,0.0,,7260470.0,1.0,10,0.0,,8059469.0,1.0,10,0.0,,7487232.0,1.0,10,,-249756.0,23580097.0,1.0,10,0.0,,7494913.0,1.0,10,0.0,,7513675.0,1.0,10,0.0,,8346413.0
2,1,10.1,0.0,,0.0,1.0,10.1,0.0,,0.0,1.0,10.1,0.0,,0.0,1.0,10.1,0.0,,0.0,1.0,10.1,0.0,,0.0,1.0,10.1,0.0,,0.0,1.0,10.1,0.0,,0.0,1.0,10.1,0.0,,0.0,1.0,10.1,0.0,,0.0,1.0,10.1,0.0,,0.0,1.0,10.1,0.0,,0.0,1.0,10.1,0.0,,0.0,1.0,10.1,0.0,,0.0,1.0,10.1,0.0,,0.0,1.0,10.1,0.0,,0.0,1.0,10.1,0.0,,0.0,1.0,10.1,0.0,,0.0
3,1,10.2,0.0,,7404857.0,1.0,11,0.0,,7240396.0,1.0,11,0.0,,7214037.0,1.0,11,0.0,,7287386.0,1.0,10.2,0.0,,7378077.0,1.0,10.2,0.0,,7826953.0,1.0,11,0.0,,6970775.0,1.0,11,0.0,,7478354.0,1.0,10.2,0.0,,7082979.0,1.0,10.2,0.0,,8502550.0,1.0,10.2,0.0,,7260470.0,1.0,10.2,0.0,,8059469.0,1.0,10.2,0.0,,7487232.0,1.0,11,0.0,,7065474.0,1.0,10.2,0.0,,7494913.0,1.0,10.2,0.0,,7513675.0,1.0,10.2,0.0,,8346413.0
4,1,10.3,0.0,,0.0,1.0,11.1,0.0,,0.0,1.0,11.1,0.0,,0.0,1.0,11.1,0.0,,0.0,1.0,10.3,0.0,,0.0,1.0,10.3,0.0,,0.0,1.0,11.1,0.0,,0.0,1.0,11.1,0.0,,0.0,1.0,10.3,0.0,,0.0,1.0,10.3,0.0,,0.0,1.0,10.3,0.0,,0.0,1.0,10.3,0.0,,0.0,1.0,10.3,0.0,,0.0,1.0,11.1,0.0,,0.0,1.0,10.3,0.0,,0.0,1.0,10.3,0.0,,0.0,1.0,10.3,0.0,,0.0
5,1,11,0.0,,948911.0,1.0,11.2,0.0,,7240396.0,1.0,11.2,0.0,,7214037.0,1.0,11.2,0.0,,7287386.0,1.0,11,0.0,,858199.0,1.0,11,0.0,,6545833.0,1.0,11.2,0.0,,6970775.0,1.0,11.2,0.0,,7478354.0,1.0,11,0.0,,8544685.0,1.0,11,0.0,,4651791.0,1.0,11,0.0,,8488311.0,1.0,11,0.0,,4542325.0,1.0,11,0.0,,7918532.0,1.0,11.2,0.0,,7065474.0,1.0,11,0.0,,7676602.0,1.0,11,0.0,,663716.0,1.0,11,0.0,,4593886.0
6,1,11.1,0.0,,659314.0,1.0,11.3,0.0,,0.0,1.0,11.3,0.0,,0.0,1.0,11.3,0.0,,0.0,1.0,11.1,0.0,,851036.0,1.0,11.1,0.0,,6530617.0,1.0,11.3,0.0,,0.0,1.0,11.3,0.0,,0.0,1.0,11.1,0.0,,7978256.0,1.0,11.1,0.0,,4363814.0,1.0,11.1,0.0,,8480161.0,1.0,11.1,0.0,,3929082.0,1.0,11.1,0.0,,7670373.0,1.0,11.3,0.0,,0.0,1.0,11.1,0.0,,7550956.0,1.0,11.1,0.0,,656553.0,1.0,11.1,0.0,,4586723.0
7,1,11.1.1,0.0,,0.0,1.0,12,0.0,,1642328.0,1.0,12,0.0,,3334473.0,1.0,12,0.0,,2231702.0,1.0,11.1.1,0.0,,188140.0,1.0,11.1.1,0.0,,2521591.0,1.0,12,0.0,,1667076.0,1.0,12,0.0,,1974601.0,1.0,11.1.1,0.0,,3583395.0,1.0,11.1.1,0.0,,618435.0,1.0,11.1.1,0.0,,4261482.0,1.0,11.1.1,0.0,,0.0,1.0,11.1.1,0.0,,3483665.0,1.0,12,0.0,,2459201.0,1.0,11.1.1,0.0,,3483665.0,1.0,11.1.1,0.0,,0.0,1.0,11.1.1,0.0,,618435.0
8,1,11.1.2,0.0,,0.0,1.0,12.1,0.0,,1635165.0,1.0,12.1,0.0,,2920733.0,1.0,12.1,0.0,,2224530.0,1.0,11.1.2,0.0,,0.0,1.0,11.1.2,0.0,,0.0,1.0,12.1,0.0,,1659912.0,1.0,12.1,0.0,,1967438.0,1.0,11.1.2,0.0,,0.0,1.0,11.1.2,0.0,,0.0,1.0,11.1.2,0.0,,0.0,1.0,11.1.2,0.0,,0.0,1.0,11.1.2,0.0,,0.0,1.0,12.1,0.0,,2452038.0,1.0,11.1.2,0.0,,0.0,1.0,11.1.2,0.0,,0.0,1.0,11.1.2,0.0,,0.0
9,1,12,80776.0,,19511417.0,1.0,13,,-255208.0,9854629.0,1.0,13,,-485121.0,11155032.0,1.0,13,,-340962.0,9247805.0,1.0,12,,-140603.0,18168434.0,1.0,12,,-78058.0,18488858.0,1.0,13,,-157877.0,9004378.0,1.0,13,,-259762.0,9707181.0,1.0,12,,-317073.0,7393633.0,1.0,12,,-517472.0,6793401.0,1.0,12,,-340319.0,9824664.0,1.0,12,,-370561.0,20001256.0,1.0,12,,-66385.0,15202545.0,1.0,13,,-429390.0,10287095.0,1.0,12,,-528019.0,12344031.0,1.0,12,,-385458.0,21042132.0,1.0,12,,-436206.0,15593969.0
