,REGN_GKO,DATE,MAX_NORM,CAP_TO_NA,RES_TO_NA,NA,BI_TO_NA,NI_TO_NA,L_NORM,I_NORM,IS_SZKO,REGISTERED_MSC
0,1,2017-10-01,127.333,-1.7074451302108986,-7.816565668485618,-1999871.0,-0.0,,278.646,0.151,1.0,1.0
1,1,2018-01-01,121.662,,,,,,224.919,0.15,1.0,1.0
2,1,2018-04-01,129.236,1.0098630120781233,4.639845977310636,3381320.0,0.0,,156.418,0.143,1.0,1.0
3,1,2018-07-01,116.728,1.0082557998765764,5.13436668625303,3386710.0,0.0,,187.032,0.141,1.0,1.0
4,1,2018-10-01,122.906,1.2020019578860885,4.828916238591758,2840819.0,0.0,,199.355,0.141,0.0,1.0
5,1,2019-01-01,192.386,1.5442868752778516,5.436016250271916,2211163.0,0.0,,222.584,0.144,1.0,1.0
6,1,2019-04-01,178.822,-0.0,-37.98740392733254,-457206.0,-7.6661920447238225,-0.1976330144398805,252.017,0.155,1.0,1.0
7,1,2019-07-01,169.076,-0.0,-259.9226171100524,-67586.0,-53.07553339448998,-2.5522001597964077,264.193,0.15,1.0,1.0
8,1,2019-10-01,153.054,-0.0,-215.03776332514715,-81031.0,-44.11630116868853,-1.9760091816712122,263.839,0.148,0.0,1.0
9,1,2020-01-01,135.661,-0.0,-16.434897938058135,-1004684.0,-3.493520350677427,-0.09477009686627835,307.083,0.151,1.0,1.0
10,1,2020-04-01,160.134,-0.0,-34.524008355374825,-449531.0,-7.728583790661823,-0.13251143970048784,202.931,,1.0,1.0
11,1,2020-07-01,119.411,,inf,0.0,inf,inf,268.706,,1.0,1.0
12,1,2020-10-01,131.536,-0.0,-236.4196003805899,-71468.0,-48.51006044663346,-0.7310544579392175,340.291,,0.0,1.0
13,1,2021-01-01,115.426,,,,,,447.926,,1.0,1.0
14,1,2021-04-01,137.151,,,,,,543.247,,1.0,1.0
15,1,2021-07-01,142.427,1.0,0.07903368711328763,216030235.0,0.7494823120476631,0.05101603486197198,481.415,,1.0,1.0
16,1,2021-10-01,126.023,,,,,,447.895,,0.0,1.0
17,1,2023-07-01,,1.0009934760432,0.010256090715067272,288008958.0,0.8314027857425185,0.03728340630293867,338.194,,1.0,1.0
18,1,2023-10-01,,1.0000249840581275,0.0100010797070847,294107545.0,0.8559015886518654,0.11593508762245457,408.334,,1.0,1.0
19,1,2024-01-01,,,,,,,1391.507,,1.0,1.0
20,101,2017-10-01,251.778,,,,,,183.867,0.048,,1.0
21,101,2018-01-01,316.124,,,,,,195.731,0.041,,1.0
22,101,2018-04-01,235.907,,,,,,179.795,0.112,,1.0
23,101,2018-07-01,273.632,,,,,,217.233,0.098,,1.0
24,101,2018-10-01,131.735,,,,,,226.389,0.755,,1.0
25,101,2019-01-01,107.457,,,,,,290.554,0.768,,1.0
26,101,2019-04-01,200.99,,,,,,271.726,0.885,,1.0
27,101,2019-07-01,184.333,,,,,,275.825,0.835,,1.0
28,101,2019-10-01,254.434,,,,,,227.677,0.41,,1.0
29,101,2020-01-01,283.213,,,,,,231.329,0.295,,1.0
30,101,2020-04-01,260.65,,,,,,194.473,,,1.0
31,101,2020-07-01,239.098,,,,,,195.219,,,1.0
