ccode;oldctbank;newctbank;csname;cnamer;oldcopf;newcopf;cregnum;oldcregnr;newcregnr;cdreg;lic;strcuraddr;ogrn
900 000 012;;;"ПАО АКБ ""1Банк""";1БАНК;ПАО;ПАО;2 896;;;10.06.1994;ОТЗ;362040, Республика Северная Осетия-Алания, г.Владикавказ, ул. Станиславского, 10;1021500000147
450 000 370;;;"АКБ ""Абсолют Банк"" (ПАО)";АБСОЛЮТ БАНК;ПАО;ПАО;2 306;;;22.04.1993;;127051,  г. Москва, Цветной бульвар, д. 18;1027700024560
450 000 785;;;"ПАО АКБ ""АВАНГАРД""";АВАНГАРД;ПАО;ПАО;2 879;;;09.06.1994;;119180,  г. Москва, ул. Большая Якиманка, д.1;1027700367507
920 000 004;;;"АО Банк ""Аверс""";АВЕРС;АО;НПАО;415;;;25.09.1990;;420111, г.Казань, ул.Мусы Джалиля, д.3;1231600067654
520 000 001;;;"АО ""Авто Финанс Банк""";АВТО ФИНАНС БАНК;АО;НПАО;170;;;26.04.1991;;109028, г.Москва, Серебряническая наб., д. 29;1025500003737
920 000 023;;;"АО ""Автоградбанк""";АВТОГРАДБАНК;АО;НПАО;1 455;;;26.04.1991;;423831, Республика Татарстан, г.Набережные Челны, проспект  Хасана Туфана,43;1021600000806
920 000 009;;;"ООО ""АвтоКредитБанк""";АВТОКРЕДИТБАНК;ООО;ООО (Паевое);1 973;;;22.07.1992;;420081, г.Казань, пр-т А. Камалеева, д.16а;1021600000366
450 000 618;;;"ООО ""АТБ"" Банк";АВТОТОРГБАНК;ООО;ООО (Паевое);2 776;;;05.04.1994;;123007, г. Москва, 1-я Магистральная улица, д. 13, стр. 2;1027739408290
450 001 194;;;"БАНК ""АГОРА"" ООО";АГОРА;ООО;ООО (Паевое);3 231;;;14.03.1995;;129090, г. Москва, переулок 2-й Троицкий, дом 3;1027700156164
120 000 001;;;ПАО АГРОИНКОМБАНК;АГРОИНКОМБАНК;ПАО;ПАО;1 946;;;06.07.1992;ОТЗ;414000, город Астрахань, пл. Ленина/ул. Бурова, 10/3, помещение 73;1023000927520
460 000 012;;;"АО КБ ""АГРОПРОМКРЕДИТ""";АГРОПРОМКРЕДИТ;АО;НПАО;2 880;;;09.06.1994;;119121, город Москва, улица Бурденко, дом 22.;1095000004252
630 000 015;;;"(АО ""Банк ""Агророс"")";АГРОРОС;АО;НПАО;2 860;;;23.05.1994;;410017, г.Саратов, ул.Чернышевского, 90;1026400001770
530 000 007;;;"ООО КБ ""Агросоюз""";АГРОСОЮЗ;ООО;ООО (Паевое);1 459;;;17.05.1991;ОТЗ;101000, г. Москва, Уланский пер., д. 13, стр. 1;1025600001130
450 001 072;;;"ООО КБ ""Адмиралтейский""";АДМИРАЛТЕЙСКИЙ;ООО;ООО (Паевое);3 054;;;17.08.1994;ОТЗ;119034,  г. Москва, Лопухинский пер., д.6, стр.1;1037739763753
100 000 003;;;"""Азиатско-Тихоокеанский Банк"" (АО)";АЗИАТСКО-ТИХООКЕАНСКИЙ БАНК;АО;НПАО;1 810;;;14.02.1992;;Российская Федерация, 675004, Амурская область, г. Благовещенск, ул. Амурская, д. 225;1022800000079
450 016 176;;;Азия-Инвест Банк (АО);АЗИЯ-ИНВЕСТ БАНК;АО;НПАО;3 303;;;30.08.1996;;115035, город Москва, ул. Садовническая, д. 73, стр. 1;1027739278973
512 057 100;НКО;Расчетная НКО;РНКО АЗИЯПЭЙ ООО;АЗИЯПЭЙ;ООО;ООО (Паевое);3 544;-К;-К;06.09.2022;;101000, г. Москва, переулок Лялин, д. 9, стр. 1;1227700549780
840 000 001;;;"ООО КБ ""АйМаниБанк""";АЙМАНИБАНК;ООО;ООО (Паевое);1 975;;;27.07.1992;ОТЗ;125212, г.Москва, ул. Выборгская, д. 16, корп. 2;1020400000081
450 054 198;;;АйСиБиСи Банк (АО);АЙСИБИСИ БАНК;АО;НПАО;3 475;;;30.08.2007;;109028, г. Москва, Серебряническая наб., д. 29;1077711000157
920 000 005;;;"ПАО ""АК БАРС"" БАНК";АК БАРС;ПАО;ПАО;2 590;;;29.11.1993;;420066, г.Казань, ул.Декабристов,1;1021600000124
820 000 046;;;"ООО КБ ""АкадемРусБанк""";АКАДЕМИЧЕСКИЙ РУССКИЙ БАНК;ООО;ООО (Паевое);622;;;29.10.1990;ОТЗ;117447, г. Москва, улица Дмитрия Ульянова, дом 35, строение 1;1027700057440
920 000 006;;;"ПАО ""АКИБАНК""";АКИБАНК;ПАО;ПАО;2 587;;;25.11.1993;;423827, Республика Татарстан, город Набережные Челны, проспект Мира, д.88а;1021600000839
340 000 005;;;"ООО КБ ""Аксонбанк""";АКСОНБАНК;ООО;ООО (Паевое);680;;;01.11.1990;ОТЗ;156961, г. Кострома, пр-т Мира, 55;1024400002978
890 000 007;;;"АО ""АКТИВ БАНК""";АКТИВ БАНК;АО;НПАО;2 529;;;14.10.1993;ОТЗ;430005, Республика Мордовия, г. Саранск, ул. Б. Хмельницкого, д. 36А;1021300001029
360 000 010;;;"АО ""АК Банк""";АКТИВКАПИТАЛ БАНК;АО;НПАО;3 006;;;29.07.1994;ОТЗ;443001, г.Самара, ул. Вилоновская, д. 84;1026300005170
500 000 012;;;"АО ""Банк Акцепт""";АКЦЕПТ;АО;НПАО;567;;;24.10.1990;;630099, г. Новосибирск, ул.Советская, 14;1025400000427
240 000 001;;;"АКБ ""Акция"" ОАО";АКЦИЯ;ОАО;ОАО (АО);927;;;30.10.1992;ОТЗ;153000, г.Иваново, ул.Ташкентская, 14;1023700000169
980 000 007;;;"АБ ""Алданзолотобанк"" АО";АЛДАНЗОЛОТОБАНК;АО;НПАО;854;;;21.11.1990;ОТЗ;678900, Республика Саха (Якутия), г. Алдан, улица 10 лет Якутии ,31-а;1021400001040
400 000 037;;;"ПАО Банк ""АЛЕКСАНДРОВСКИЙ""";АЛЕКСАНДРОВСКИЙ;ПАО;ПАО;53;;;30.06.1992;;191119, Санкт-Петербург, Загородный пр., 46, литер Б, корпус 2;1027800000194
460 000 022;;;"АО АКБ ""Алеф-Банк""";АЛЕФ-БАНК;АО;НПАО;2 119;;;16.10.1992;;121467, г. Москва, ул. Молдавская, д. 5;1027739176080
980 000 022;;;"АКБ ""Алмазэргиэнбанк"" АО";АЛМАЗЭРГИЭНБАНК;АО;НПАО;2 602;;;06.12.1993;;677000, Республика Саха (Якутия), город. Якутск, проспект Ленина, 1;1031403918138
10 000 004;;;"ООО КБ ""Алтайкапиталбанк""";АЛТАЙКАПИТАЛБАНК;ООО;ООО (Паевое);2 659;;;21.01.1994;;656043, Алтайский край, г.Барнаул, ул.Л.Толстого, 38а;1022200531484
920 000 008;;;"ООО ""АЛТЫНБАНК""";АЛТЫНБАНК;ООО;ООО (Паевое);2 070;;;10.09.1992;;420124, г.Казань, улица Фатыха Амирхана, д.15;1151600000100
460 000 015;;;"ООО КБ ""Альба Альянс""";АЛЬБА АЛЬЯНС;ООО;ООО (Паевое);2 593;;;03.12.1993;АНН;119019, г. Москва, Кремлевская набережная, д. 1, стр. 2;1025000004787
450 000 344;;;"КБ ""Альта-Банк"" (ЗАО)";АЛЬТА-БАНК;ЗАО;ЗАО (АО);2 269;;;29.01.1993;ОТЗ;125047, г. Москва, ул. 2-ая Брестская, д. 30;1027739047181
450 044 555;НКО;Расчетная НКО;"НКО ""Альтернатива"" (ООО)";АЛЬТЕРНАТИВА;ООО;ООО (Паевое);3 452;-К;-К;27.01.2005;;115172, г. Москва, ул. Малые Каменщики, д. 10;1057711000820
