,REGN_GKO,DATE,RESERVES,BALANCE_INCOME,CAPITAL,NET_INCOME,LIABILITIES,NET_ASSETS,LIQUIDITY_NORM,INSIDE_NORM,RISK_NORM,MAX_NORM
0,1,2017-10-01,15632123.0,0.0,3414670.0,,5414541.0,-1999871.0,278.646,0.151,,127.333
1,1,2018-01-01,15439064.0,0.0,3414670.0,,4438557.0,,224.919,0.15,,121.662
2,1,2018-04-01,15688804.0,0.0,3414670.0,,4572233.0,3381320.0,156.418,0.143,,129.236
3,1,2018-07-01,17388611.0,0.0,3414670.0,,4267965.0,3386710.0,187.032,0.141,,116.728
4,1,2018-10-01,13718077.0,0.0,3414670.0,,2722275.0,2840819.0,199.355,0.141,,122.906
5,1,2019-01-01,12019918.0,0.0,3414670.0,,3320972.0,2211163.0,222.584,0.144,,192.386
6,1,2019-04-01,17368069.0,3505029.0,0.0,90359.0,1260119826.0,-457206.0,252.017,0.155,,178.822
7,1,2019-07-01,17567130.0,3587163.0,0.0,172493.0,1132237382.0,-67586.0,264.193,0.15,,169.076
8,1,2019-10-01,17424725.0,3574788.0,0.0,160118.0,1183953299.0,-81031.0,263.839,0.148,,153.054
9,1,2020-01-01,16511879.0,3509884.0,0.0,95214.0,1018330179.0,-1004684.0,307.083,0.151,,135.661
10,1,2020-04-01,15519612.0,3474238.0,0.0,59568.0,1342697541.0,-449531.0,202.931,,,160.134
11,1,2020-07-01,17401610.0,3470981.0,0.0,56311.0,1225372014.0,0.0,268.706,,,119.411
12,1,2020-10-01,16896436.0,3466917.0,0.0,52247.0,1125843200.0,-71468.0,340.291,,,131.536
13,1,2021-01-01,17174229.0,3474484.0,0.0,59814.0,1077250771.0,,447.926,,,115.426
14,1,2021-04-01,16208308.0,3468511.0,0.0,53841.0,1060599057.0,,543.247,,,137.151
15,1,2021-07-01,17073666.0,161910840.0,216030235.0,11021006.0,1072332160.0,216030235.0,481.415,,,142.427
16,1,2021-10-01,17065960.0,168623528.0,221860512.0,17733694.0,1013576269.0,,447.895,,,126.023
17,1,2023-07-01,2953846.0,239451450.0,288295088.0,10737955.0,862004157.0,288008958.0,338.194,,,
18,1,2023-10-01,2941393.0,251727115.0,294114893.0,34097384.0,962179582.0,294107545.0,408.334,,,
19,1,2024-01-01,2952402.0,261259326.0,309805995.0,43600182.0,817647625.0,,1391.507,,,
20,101,2017-10-01,0.0,,,,,,183.867,0.048,,251.778
21,101,2018-01-01,0.0,,,,,,195.731,0.041,,316.124
22,101,2018-04-01,0.0,,,,,,179.795,0.112,,235.907
23,101,2018-07-01,0.0,,,,,,217.233,0.098,,273.632
24,101,2018-10-01,0.0,,,,,,226.389,0.755,,131.735
25,101,2019-01-01,0.0,,,,,,290.554,0.768,,107.457
26,101,2019-04-01,0.0,,,,,,271.726,0.885,,200.99
27,101,2019-07-01,0.0,,,,,,275.825,0.835,,184.333
28,101,2019-10-01,0.0,,,,,,227.677,0.41,,254.434
29,101,2020-01-01,0.0,,,,,,231.329,0.295,,283.213
30,101,2020-04-01,0.0,,,,,,194.473,,,260.65
31,101,2020-07-01,535090.0,51919.0,-436.0,51919.0,62913799.0,,195.219,,,239.098
32,101,2020-10-01,551666.0,16117.0,-336.0,16117.0,64955447.0,-138905.0,199.972,,,292.403
33,101,2021-01-01,0.0,,,,,,184.688,,,271.138
34,101,2021-04-01,0.0,,,,,,156.173,,,270.932
35,101,2021-07-01,0.0,,,,,,177.747,,,286.268
36,101,2021-10-01,0.0,,,,,,206.576,,,259.825
37,101,2023-07-01,0.0,,,,,,240.641,,,
38,101,2023-10-01,0.0,,,,,,210.923,,,
39,101,2024-01-01,0.0,,,,,,373.681,,,
40,212,2017-10-01,372973.0,0.0,5245.0,,33350.0,-6250533.0,498.821,0.274,,391.44
41,212,2018-01-01,430033.0,0.0,5245.0,,33350.0,-293964.0,371.274,0.421,,384.694
42,212,2018-04-01,469972.0,0.0,5245.0,,33350.0,,584.148,0.353,,406.128
43,212,2018-07-01,613815.0,0.0,5245.0,,33350.0,-83719.0,443.659,0.412,,382.748
44,212,2018-10-01,615150.0,0.0,5245.0,,33350.0,-98271.0,383.158,0.358,,311.904
45,212,2019-01-01,623436.0,0.0,5245.0,,32755.0,-1363344.0,315.777,0.381,,327.44
